no,id_wa,tanggal_daftar,nama_wilayah_adat,provinsi,kabupaten_kota,kecamatan,peta,status,kebijakan,url_detail
763,T1dIWi16R0xDZlE,25 Ags 2015,Kampung Banua lemo,Sulawesi Selatan,LUWU,Bajo Barat,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/T1dIWi16R0xDZlE
764,cW1KUWY5YWl6b2M,14 Nop 2012,Kasepuhan Citorek,Banten,LEBAK,Muncang,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/cW1KUWY5YWl6b2M
765,WDg2V3U2LUJaSkU,13 Ags 2015,Kampung Barambang Katute,Sulawesi Selatan,SINJAI,Sinjai Borong,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/WDg2V3U2LUJaSkU
766,U1hGdVlRQ3V2bkU,14 Nop 2012,Kuta,Jawa Barat,CIAMIS,Tambaksari,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/U1hGdVlRQ3V2bkU
767,U01mbUNDczRqeWs,27 Ags 2015,Dusun Serawai Semidang Sakti,Bengkulu,SELUMA,Ilir Talo,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/U01mbUNDczRqeWs
768,aTh1N0dSeGttazg,14 Nop 2012,Sinar Resmi,Jawa Barat,KOTA SUKABUMI,"Cisolok, Cibeber, Cikaka Pelabuhan Ratu, Cikidang, Kabandungan",Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/aTh1N0dSeGttazg
769,THI5NjlCVU9jYzg,08 Ags 2015,Kampung Kuwala Begumit,Sumatera Utara,LANGKAT,Setabat dan Binjai,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/THI5NjlCVU9jYzg
770,ZXpaZXNCSnJNZnc,03 Jun 2012,Dusun Resak Balai,Kalimantan Barat,SEKADAU,Belitang Hilir,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/ZXpaZXNCSnJNZnc
771,c19WbDhJMkZVb00,15 Jul 2013,Talang Mamak Simarantihan,Jambi,TEBO,Masumay,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/c19WbDhJMkZVb00
772,NlgxTVdfNWdXZ1k,08 Ags 2015,Sababalat Polak Muntogat saureinu,Sumatera Barat,KEPULAUAN MENTAWAI,Sipora Selatan,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/NlgxTVdfNWdXZ1k
773,TDd2NFhqOFVhQ1k,08 Ags 2015,Laggai Goiso Oinan,Sumatera Barat,KEPULAUAN MENTAWAI,Sipora Utara,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/TDd2NFhqOFVhQ1k
774,M1M2LTNNbGNIclU,08 Ags 2015,Laggai Rokot,Sumatera Barat,KEPULAUAN MENTAWAI,Sipora Selatan,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/M1M2LTNNbGNIclU
